MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
900,EA,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,EA,,0.00E+00,,,0.00E+00,
900,EE,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,EML,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,F,X,X,0,,,,,CAPACI,1,1,0,0,0,0,FAR,,0.00E+00,,,0.00E+00,
900,FA,X,X,0,,,,,TEMP,5,9,0,255.372222,0,0,FAH,X,0.00E+00,,,0.00E+00,
900,FT,X,X,0,X,,,,LENGTH,381,1250,0,0,0,0,FOT,,0.00E+00,,,0.00E+00,
900,FT2,X,X,0,X,,,,SURFAC,250,2691,0,0,0,0,FTK,,0.00E+00,,,0.00E+00,
900,FT3,X,X,0,X,,,,VOLUME,28316736,1,-9,0,0,0,FTQ,,0.00E+00,,,0.00E+00,
900,G,X,X,3,X,,,,MASS,1,1000,0,0,0,0,GRM,X,0.00E+00,,,0.00E+00,
900,G/L,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,GAU,X,X,99,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,GC,X,X,0,,,,,TEMP,1,1,0,273.15,0,0,CEL,X,0.00E+00,,,0.00E+00,
900,GHG,X,X,0,,,,,MPROPO,1,100,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,GJ,X,X,0,X,,,,ENERGY,1,1,9,0,0,0,GV,,0.00E+00,,,0.00E+00,
900,GJT,X,X,0,,,,,SPENER,1000000,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,GKG,X,X,0,,,,,MPROPO,1,1000,0,0,0,0,GK,,0.00E+00,,,0.00E+00,
